Timestamp,Source,Item,Raw Count,Final Count,Whitelisted,Dead,Parked,Toplist,Queries,Status
08:58:18 08-04-24,aa419.org,,500,8,0,20,37,0,,saved
08:58:18 08-04-24,guntab.com,,1801,39,0,235,82,0,,saved
08:58:18 08-04-24,petscams.com,,299,6,0,13,7,0,,saved
08:58:18 08-04-24,scam.directory,,300,2,0,62,154,0,,saved
08:58:18 08-04-24,scamadviser.com,,17,1,1,2,1,0,,saved
08:58:18 08-04-24,stopgunscams.com,,75,0,0,1,0,0,,saved
14:49:00 10-04-24,aa419.org,,500,25,0,22,35,0,,saved
14:49:00 10-04-24,guntab.com,,1810,13,0,262,82,1,,saved
14:49:00 10-04-24,petscams.com,,278,12,0,13,4,0,,saved
14:49:00 10-04-24,scam.directory,,300,0,0,62,154,0,,saved
14:49:00 10-04-24,scamadviser.com,,73,3,4,19,10,0,,saved
14:49:00 10-04-24,stopgunscams.com,,75,6,0,2,0,0,,saved
14:53:16 10-04-24,guntab.com,,1,1,0,0,0,0,,saved
15:06:14 10-04-24,aa419.org,,500,0,0,22,35,0,,unsaved
15:06:14 10-04-24,guntab.com,,1810,0,0,262,82,0,,unsaved
15:06:14 10-04-24,petscams.com,,278,0,0,13,4,0,,unsaved
15:06:14 10-04-24,scam.directory,,300,0,0,62,154,0,,unsaved
15:06:14 10-04-24,scamadviser.com,,62,0,3,16,8,0,,unsaved
15:06:14 10-04-24,stopgunscams.com,,75,0,0,2,0,0,,unsaved
15:19:47 10-04-24,aa419.org,,500,0,0,22,35,0,,unsaved
15:19:47 10-04-24,guntab.com,,1810,0,0,262,82,0,,unsaved
15:19:47 10-04-24,petscams.com,,278,0,0,13,4,0,,unsaved
15:19:47 10-04-24,scam.directory,,300,0,0,62,154,0,,unsaved
15:19:47 10-04-24,scamadviser.com,,66,1,3,16,8,2,,unsaved
15:19:47 10-04-24,stopgunscams.com,,75,0,0,2,0,0,,unsaved
15:33:45 10-04-24,scamadviser.com,,3,1,1,0,0,0,,unsaved
15:35:59 10-04-24,scamadviser.com,,1,0,0,0,0,0,,unsaved
15:38:08 10-04-24,scamadviser.com,,1,0,0,0,0,0,,unsaved
15:40:09 10-04-24,aa419.org,,500,0,0,22,35,0,,unsaved
15:40:09 10-04-24,guntab.com,,1810,0,0,262,82,0,,unsaved
15:40:09 10-04-24,petscams.com,,278,0,0,13,4,0,,unsaved
15:40:09 10-04-24,scam.directory,,300,0,0,62,154,0,,unsaved
15:40:09 10-04-24,scamadviser.com,,122,18,6,22,10,0,,unsaved
15:40:09 10-04-24,stopgunscams.com,,75,0,0,2,0,0,,unsaved
15:59:28 10-04-24,aa419.org,,500,0,0,22,35,0,,saved
15:59:28 10-04-24,guntab.com,,1810,0,0,262,82,0,,saved
15:59:28 10-04-24,petscams.com,,208,0,0,12,2,0,,saved
15:59:28 10-04-24,scam.directory,,300,0,0,62,154,0,,saved
15:59:28 10-04-24,scamadviser.com,,694,1,19,20,9,0,,saved
15:59:28 10-04-24,stopgunscams.com,,75,0,0,2,0,0,,saved
